dataset,feature,length,model_size,auc
StackExchange,loss,200,410m,0.5023635000000001
StackExchange,loss,300,410m,0.5240825
StackExchange,loss,400,410m,0.5042095
StackExchange,loss,500,410m,0.5154755
StackExchange,loss,600,410m,0.504286
StackExchange,loss,700,410m,0.5156909999999999
StackExchange,loss,800,410m,0.517673
StackExchange,loss,900,410m,0.51234335839599
StackExchange,loss,0,1b,0.5223495
StackExchange,loss,100,1b,0.5039119999999999
StackExchange,loss,200,1b,0.503898
StackExchange,loss,300,1b,0.527435
StackExchange,loss,400,1b,0.500739
StackExchange,loss,500,1b,0.5153125000000001
StackExchange,loss,600,1b,0.5014025
StackExchange,loss,700,1b,0.5163935
StackExchange,loss,800,1b,0.519663
StackExchange,loss,900,1b,0.5128088972431077
StackExchange,loss,0,2.8b,0.5188599999999999
StackExchange,loss,100,2.8b,0.5051495
StackExchange,loss,200,2.8b,0.5070545
StackExchange,loss,300,2.8b,0.5291589999999999
StackExchange,loss,400,2.8b,0.502165
StackExchange,loss,500,2.8b,0.511379
StackExchange,loss,600,2.8b,0.5024995
StackExchange,loss,700,2.8b,0.5190615000000001
StackExchange,loss,800,2.8b,0.521827
StackExchange,loss,900,2.8b,0.515578947368421
StackExchange,loss,0,6.9b,0.5197005
StackExchange,loss,100,6.9b,0.5095765000000001
StackExchange,loss,200,6.9b,0.509251
StackExchange,loss,300,6.9b,0.5301345
StackExchange,loss,400,6.9b,0.5029755
StackExchange,loss,500,6.9b,0.508716
StackExchange,loss,600,6.9b,0.5034435
StackExchange,loss,700,6.9b,0.5203344999999999
StackExchange,loss,800,6.9b,0.5231315
StackExchange,loss,900,6.9b,0.5175908521303259
StackExchange,prob,0,410m,0.524717
StackExchange,prob,100,410m,0.5021319999999999
StackExchange,prob,200,410m,0.50231
StackExchange,prob,300,410m,0.5241990000000001
StackExchange,prob,400,410m,0.504364
StackExchange,prob,500,410m,0.5155730000000001
StackExchange,prob,600,410m,0.504186
StackExchange,prob,700,410m,0.5158159999999999
StackExchange,prob,800,410m,0.517576
StackExchange,prob,900,410m,0.5122994987468672
StackExchange,prob,0,1b,0.5221655
StackExchange,prob,100,1b,0.5041899999999999
StackExchange,prob,200,1b,0.5038900000000001
