dataset,feature,length,model_size,auc
StackExchange,loss,90,6.9b,0.50834
StackExchange,prob,0,410m,0.509571
StackExchange,prob,10,410m,0.5187170000000001
StackExchange,prob,20,410m,0.501199
StackExchange,prob,30,410m,0.5048495
StackExchange,prob,40,410m,0.513224
StackExchange,prob,50,410m,0.5343040000000001
StackExchange,prob,60,410m,0.506995
StackExchange,prob,70,410m,0.50879
StackExchange,prob,80,410m,0.501026
StackExchange,prob,90,410m,0.504035
StackExchange,prob,0,1b,0.510115
StackExchange,prob,10,1b,0.5184409999999999
StackExchange,prob,20,1b,0.504421
StackExchange,prob,30,1b,0.503092
StackExchange,prob,40,1b,0.512248
StackExchange,prob,50,1b,0.5339430000000001
StackExchange,prob,60,1b,0.506768
StackExchange,prob,70,1b,0.5073245
StackExchange,prob,80,1b,0.5017429999999999
StackExchange,prob,90,1b,0.5034235
StackExchange,prob,0,2.8b,0.5066005
StackExchange,prob,10,2.8b,0.512759
StackExchange,prob,20,2.8b,0.507475
StackExchange,prob,30,2.8b,0.5070675
StackExchange,prob,40,2.8b,0.509752
StackExchange,prob,50,2.8b,0.5258240000000001
StackExchange,prob,60,2.8b,0.506354
StackExchange,prob,70,2.8b,0.503838
StackExchange,prob,80,2.8b,0.5059130000000001
StackExchange,prob,90,2.8b,0.5057529999999999
StackExchange,prob,0,6.9b,0.502742
StackExchange,prob,10,6.9b,0.5094055
StackExchange,prob,20,6.9b,0.508853
StackExchange,prob,30,6.9b,0.512831
StackExchange,prob,40,6.9b,0.5065815
StackExchange,prob,50,6.9b,0.5248059999999999
StackExchange,prob,60,6.9b,0.5097470000000001
StackExchange,prob,70,6.9b,0.500974
StackExchange,prob,80,6.9b,0.510915
StackExchange,prob,90,6.9b,0.508243
StackExchange,ppl,0,410m,0.509307
StackExchange,ppl,10,410m,0.5185649999999999
StackExchange,ppl,20,410m,0.5014019999999999
StackExchange,ppl,30,410m,0.5049085
StackExchange,ppl,40,410m,0.5132745
StackExchange,ppl,50,410m,0.5345355
StackExchange,ppl,60,410m,0.506869
StackExchange,ppl,70,410m,0.5088334999999999
StackExchange,ppl,80,410m,0.5010144999999999
StackExchange,ppl,90,410m,0.5040545
StackExchange,ppl,0,1b,0.510186
StackExchange,ppl,10,1b,0.518554
StackExchange,ppl,20,1b,0.504594
StackExchange,ppl,30,1b,0.5029600000000001
StackExchange,ppl,40,1b,0.5122645
StackExchange,ppl,50,1b,0.5340885
StackExchange,ppl,60,1b,0.506695
StackExchange,ppl,70,1b,0.5071939999999999
StackExchange,ppl,80,1b,0.5014545
StackExchange,ppl,90,1b,0.5031755
StackExchange,ppl,0,2.8b,0.5067945
StackExchange,ppl,10,2.8b,0.512761
StackExchange,ppl,20,2.8b,0.5076090000000001
StackExchange,ppl,30,2.8b,0.506845
StackExchange,ppl,40,2.8b,0.509808
StackExchange,ppl,50,2.8b,0.525777
StackExchange,ppl,60,2.8b,0.5065324999999999
StackExchange,ppl,70,2.8b,0.503916
StackExchange,ppl,80,2.8b,0.50585
StackExchange,ppl,90,2.8b,0.5058415
StackExchange,ppl,0,6.9b,0.5028110000000001
StackExchange,ppl,10,6.9b,0.5092915
StackExchange,ppl,20,6.9b,0.508857
StackExchange,ppl,30,6.9b,0.5129375
StackExchange,ppl,40,6.9b,0.506553
StackExchange,ppl,50,6.9b,0.524829
StackExchange,ppl,60,6.9b,0.5099255
StackExchange,ppl,70,6.9b,0.5009595
StackExchange,ppl,80,6.9b,0.511022
StackExchange,ppl,90,6.9b,0.50834
StackExchange,mink_plus,0,410m,0.505178
StackExchange,mink_plus,10,410m,0.504581
StackExchange,mink_plus,20,410m,0.5047349999999999
StackExchange,mink_plus,30,410m,0.50814
StackExchange,mink_plus,40,410m,0.507624
StackExchange,mink_plus,50,410m,0.510424
StackExchange,mink_plus,60,410m,0.507796
StackExchange,mink_plus,70,410m,0.515794
StackExchange,mink_plus,80,410m,0.501354
StackExchange,mink_plus,90,410m,0.504984
StackExchange,mink_plus,0,1b,0.50734
StackExchange,mink_plus,10,1b,0.504401
StackExchange,mink_plus,20,1b,0.501345
StackExchange,mink_plus,30,1b,0.5074420000000001
StackExchange,mink_plus,40,1b,0.5127240000000001
StackExchange,mink_plus,50,1b,0.505276
StackExchange,mink_plus,60,1b,0.512903
StackExchange,mink_plus,70,1b,0.501228
StackExchange,mink_plus,80,1b,0.506324
StackExchange,mink_plus,90,1b,0.500219
StackExchange,mink_plus,0,2.8b,0.503603
StackExchange,mink_plus,10,2.8b,0.515641
StackExchange,mink_plus,20,2.8b,0.515063
StackExchange,mink_plus,30,2.8b,0.5053869999999999
StackExchange,mink_plus,40,2.8b,0.521707
StackExchange,mink_plus,50,2.8b,0.5109
StackExchange,mink_plus,60,2.8b,0.502457
StackExchange,mink_plus,70,2.8b,0.500202
StackExchange,mink_plus,80,2.8b,0.517452
StackExchange,mink_plus,90,2.8b,0.511984
StackExchange,mink_plus,0,6.9b,0.512178
StackExchange,mink_plus,10,6.9b,0.524355
StackExchange,mink_plus,20,6.9b,0.51646
StackExchange,mink_plus,30,6.9b,0.51452
StackExchange,mink_plus,40,6.9b,0.529818
StackExchange,mink_plus,50,6.9b,0.511629
StackExchange,mink_plus,60,6.9b,0.514704
StackExchange,mink_plus,70,6.9b,0.516111
StackExchange,mink_plus,80,6.9b,0.528157
StackExchange,mink_plus,90,6.9b,0.513474
StackExchange,zlib,0,410m,0.5162249999999999
StackExchange,zlib,10,410m,0.5197195
StackExchange,zlib,20,410m,0.505729
StackExchange,zlib,30,410m,0.5067715
StackExchange,zlib,40,410m,0.5062205
StackExchange,zlib,50,410m,0.5259725
StackExchange,zlib,60,410m,0.5234045
StackExchange,zlib,70,410m,0.5076545
StackExchange,zlib,80,410m,0.5050755
StackExchange,zlib,90,410m,0.5134540000000001
StackExchange,zlib,0,1b,0.5148840000000001
StackExchange,zlib,10,1b,0.5177685
StackExchange,zlib,20,1b,0.502035
StackExchange,zlib,30,1b,0.507728
StackExchange,zlib,40,1b,0.5053974999999999
StackExchange,zlib,50,1b,0.5244935
StackExchange,zlib,60,1b,0.5232785
StackExchange,zlib,70,1b,0.5076735
StackExchange,zlib,80,1b,0.504483
StackExchange,zlib,90,1b,0.5126105
StackExchange,zlib,0,2.8b,0.510123
StackExchange,zlib,10,2.8b,0.511598
StackExchange,zlib,20,2.8b,0.5060985
StackExchange,zlib,30,2.8b,0.5020935
StackExchange,zlib,40,2.8b,0.5012675
StackExchange,zlib,50,2.8b,0.514965
StackExchange,zlib,60,2.8b,0.521314
StackExchange,zlib,70,2.8b,0.5049769999999999
StackExchange,zlib,80,2.8b,0.501692
StackExchange,zlib,90,2.8b,0.51402
StackExchange,zlib,0,6.9b,0.505073
StackExchange,zlib,10,6.9b,0.5061959999999999
StackExchange,zlib,20,6.9b,0.5083875
StackExchange,zlib,30,6.9b,0.50543
StackExchange,zlib,40,6.9b,0.5029969999999999
StackExchange,zlib,50,6.9b,0.5134465
StackExchange,zlib,60,6.9b,0.5282595
StackExchange,zlib,70,6.9b,0.501175
StackExchange,zlib,80,6.9b,0.5080024999999999
StackExchange,zlib,90,6.9b,0.5166145
StackExchange,grad,0,410m,0.508894
StackExchange,grad,10,410m,0.5057475
StackExchange,grad,20,410m,0.5125115
StackExchange,grad,30,410m,0.502681
StackExchange,grad,40,410m,0.521155
StackExchange,grad,50,410m,0.500211
StackExchange,grad,60,410m,0.5006539999999999
StackExchange,grad,70,410m,0.5006525000000001
StackExchange,grad,80,410m,0.5147269999999999
StackExchange,grad,90,410m,0.5132485
StackExchange,grad,0,1b,0.5182295
StackExchange,grad,10,1b,0.5173935000000001
StackExchange,grad,20,1b,0.5209714999999999
StackExchange,grad,30,1b,0.5011405
StackExchange,grad,40,1b,0.520453
StackExchange,grad,50,1b,0.520062
StackExchange,grad,60,1b,0.5043615
StackExchange,grad,70,1b,0.5021684999999999
StackExchange,grad,80,1b,0.5288014999999999
StackExchange,grad,90,1b,0.5251184999999999
StackExchange,grad,0,2.8b,0.5094575
StackExchange,grad,10,2.8b,0.5134495000000001
StackExchange,grad,20,2.8b,0.5146065
StackExchange,grad,30,2.8b,0.5030935
StackExchange,grad,40,2.8b,0.5092405
StackExchange,grad,50,2.8b,0.5161625
StackExchange,grad,60,2.8b,0.510205
StackExchange,grad,70,2.8b,0.5107995000000001
StackExchange,grad,80,2.8b,0.5175575
StackExchange,grad,90,2.8b,0.517949
StackExchange,grad,0,6.9b,0.5005005
StackExchange,grad,10,6.9b,0.5102005000000001
StackExchange,grad,20,6.9b,0.5016594999999999
StackExchange,grad,30,6.9b,0.504218
StackExchange,grad,40,6.9b,0.5153675
StackExchange,grad,50,6.9b,0.5125795
StackExchange,grad,60,6.9b,0.517821
StackExchange,grad,70,6.9b,0.5136419999999999
StackExchange,grad,80,6.9b,0.5071935
StackExchange,grad,90,6.9b,0.5221935
StackExchange,refer,0,410m,0.5150440000000001
StackExchange,refer,10,410m,0.5196705
StackExchange,refer,20,410m,0.5000095
StackExchange,refer,30,410m,0.501662
StackExchange,refer,40,410m,0.5169865
StackExchange,refer,50,410m,0.532667
StackExchange,refer,60,410m,0.5037255
StackExchange,refer,70,410m,0.51166
StackExchange,refer,80,410m,0.502178
StackExchange,refer,90,410m,0.5002015000000001
StackExchange,refer,0,1b,0.5150440000000001
StackExchange,refer,10,1b,0.5196705
StackExchange,refer,20,1b,0.5004190000000001
StackExchange,refer,30,1b,0.5015525000000001
StackExchange,refer,40,1b,0.5168025
StackExchange,refer,50,1b,0.5329755
StackExchange,refer,60,1b,0.503944
StackExchange,refer,70,1b,0.51166
StackExchange,refer,80,1b,0.502178
StackExchange,refer,90,1b,0.5002015000000001
StackExchange,refer,0,2.8b,0.5150440000000001
StackExchange,refer,10,2.8b,0.5196705
StackExchange,refer,20,2.8b,0.5004190000000001
StackExchange,refer,30,2.8b,0.5015525000000001
StackExchange,refer,40,2.8b,0.5168025
StackExchange,refer,50,2.8b,0.5329755
StackExchange,refer,60,2.8b,0.503944
