dataset,feature,length,model_size,auc
Wikipedia (en),Gradient,10,410m,0.5080439999999999
Wikipedia (en),Gradient,20,410m,0.502831
Wikipedia (en),Gradient,30,410m,0.51683
Wikipedia (en),Gradient,40,410m,0.5067895
Wikipedia (en),Gradient,50,410m,0.5040015
Wikipedia (en),Gradient,60,410m,0.513049
Wikipedia (en),Gradient,70,410m,0.530923
Wikipedia (en),Gradient,80,410m,0.5015445000000001
Wikipedia (en),Gradient,90,410m,0.5113775
Wikipedia (en),Gradient,0,1b,0.5061815
Wikipedia (en),Gradient,10,1b,0.5091804999999999
Wikipedia (en),Gradient,20,1b,0.530822
Wikipedia (en),Gradient,30,1b,0.509884
Wikipedia (en),Gradient,40,1b,0.5010225
Wikipedia (en),Gradient,50,1b,0.5232315000000001
Wikipedia (en),Gradient,60,1b,0.539483
Wikipedia (en),Gradient,70,1b,0.5011455
Wikipedia (en),Gradient,80,1b,0.521603
Wikipedia (en),Gradient,90,1b,0.5274924999999999
Wikipedia (en),Gradient,0,2.8b,0.5098594999999999
Wikipedia (en),Gradient,10,2.8b,0.5055729999999999
Wikipedia (en),Gradient,20,2.8b,0.521201
Wikipedia (en),Gradient,30,2.8b,0.515501
Wikipedia (en),Gradient,40,2.8b,0.514554
Wikipedia (en),Gradient,50,2.8b,0.5348925
Wikipedia (en),Gradient,60,2.8b,0.5563199999999999
Wikipedia (en),Gradient,70,2.8b,0.5320065
Wikipedia (en),Gradient,80,2.8b,0.5595654999999999
Wikipedia (en),Gradient,90,2.8b,0.5318805
Wikipedia (en),Gradient,0,6.9b,0.5148955
Wikipedia (en),Gradient,10,6.9b,0.500038
Wikipedia (en),Gradient,20,6.9b,0.525417
Wikipedia (en),Gradient,30,6.9b,0.5191125000000001
Wikipedia (en),Gradient,40,6.9b,0.512977
Wikipedia (en),Gradient,50,6.9b,0.536764
Wikipedia (en),Gradient,60,6.9b,0.5441055
Wikipedia (en),Gradient,70,6.9b,0.5267759999999999
Wikipedia (en),Gradient,80,6.9b,0.5267554999999999
Wikipedia (en),Gradient,90,6.9b,0.5173025
Wikipedia (en),Gradient,0,12b,0.51552
Wikipedia (en),Gradient,10,12b,0.5054395
Wikipedia (en),Gradient,20,12b,0.5387615
Wikipedia (en),Gradient,30,12b,0.5151709999999999
Wikipedia (en),Gradient,40,12b,0.523415
Wikipedia (en),Gradient,50,12b,0.526589
Wikipedia (en),Gradient,60,12b,0.5059415
Wikipedia (en),Gradient,70,12b,0.515585
Wikipedia (en),Gradient,80,12b,0.5078779999999999
Wikipedia (en),Gradient,90,12b,0.5185029999999999
Wikipedia (en),Refer,0,160m,0.5120415
Wikipedia (en),Refer,10,160m,0.506741
Wikipedia (en),Refer,20,160m,0.5059355000000001
Wikipedia (en),Refer,30,160m,0.505194
Wikipedia (en),Refer,40,160m,0.514891
Wikipedia (en),Refer,50,160m,0.5152005000000001
Wikipedia (en),Refer,60,160m,0.5002825
Wikipedia (en),Refer,70,160m,0.5362804999999999
Wikipedia (en),Refer,80,160m,0.5066705
Wikipedia (en),Refer,90,160m,0.5175155
Wikipedia (en),Refer,0,410m,0.5120695
Wikipedia (en),Refer,10,410m,0.507011
Wikipedia (en),Refer,20,410m,0.505849
Wikipedia (en),Refer,30,410m,0.504995
Wikipedia (en),Refer,40,410m,0.514682
Wikipedia (en),Refer,50,410m,0.515208
Wikipedia (en),Refer,60,410m,0.5000105
Wikipedia (en),Refer,70,410m,0.53612
Wikipedia (en),Refer,80,410m,0.5068095
Wikipedia (en),Refer,90,410m,0.5175155
Wikipedia (en),Refer,0,1b,0.5120499999999999
Wikipedia (en),Refer,10,1b,0.5069330000000001
Wikipedia (en),Refer,20,1b,0.506108
Wikipedia (en),Refer,30,1b,0.505234
Wikipedia (en),Refer,40,1b,0.5148415
Wikipedia (en),Refer,50,1b,0.515297
Wikipedia (en),Refer,60,1b,0.5003355
Wikipedia (en),Refer,70,1b,0.5363355
Wikipedia (en),Refer,80,1b,0.5068465
Wikipedia (en),Refer,90,1b,0.5175155
Wikipedia (en),Refer,0,2.8b,0.5120499999999999
Wikipedia (en),Refer,10,2.8b,0.5069330000000001
Wikipedia (en),Refer,20,2.8b,0.506108
Wikipedia (en),Refer,30,2.8b,0.505234
Wikipedia (en),Refer,40,2.8b,0.5148415
Wikipedia (en),Refer,50,2.8b,0.515297
Wikipedia (en),Refer,60,2.8b,0.5003355
Wikipedia (en),Refer,70,2.8b,0.5363355
Wikipedia (en),Refer,80,2.8b,0.5068465
Wikipedia (en),Refer,90,2.8b,0.5175155
Wikipedia (en),Refer,0,6.9b,0.51192
Wikipedia (en),Refer,10,6.9b,0.5066965
Wikipedia (en),Refer,20,6.9b,0.505865
Wikipedia (en),Refer,30,6.9b,0.5050235000000001
Wikipedia (en),Refer,40,6.9b,0.5148395
Wikipedia (en),Refer,50,6.9b,0.515083
Wikipedia (en),Refer,60,6.9b,0.500274
Wikipedia (en),Refer,70,6.9b,0.5365004999999999
Wikipedia (en),Refer,80,6.9b,0.5068815
Wikipedia (en),Refer,90,6.9b,0.5175155
Wikipedia (en),Refer,0,12b,0.5121530000000001
Wikipedia (en),Refer,10,12b,0.506768
Wikipedia (en),Refer,20,12b,0.5061045
Wikipedia (en),Refer,30,12b,0.5052110000000001
Wikipedia (en),Refer,40,12b,0.51483
Wikipedia (en),Refer,50,12b,0.515244
Wikipedia (en),Refer,60,12b,0.5003595000000001
Wikipedia (en),Refer,70,12b,0.535953
Wikipedia (en),Refer,80,12b,0.506871
Wikipedia (en),Refer,90,12b,0.5175155
Wikipedia (en),CCD,0,160m,0.512242
Wikipedia (en),CCD,10,160m,0.5146255
Wikipedia (en),CCD,20,160m,0.5109779999999999
Wikipedia (en),CCD,30,160m,0.5119875
Wikipedia (en),CCD,40,160m,0.5200374999999999
Wikipedia (en),CCD,50,160m,0.510093
Wikipedia (en),CCD,60,160m,0.5288744999999999
Wikipedia (en),CCD,70,160m,0.5213
Wikipedia (en),CCD,80,160m,0.5111735
Wikipedia (en),CCD,90,160m,0.51475
Wikipedia (en),CCD,0,410m,0.513422
Wikipedia (en),CCD,10,410m,0.5016495000000001
Wikipedia (en),CCD,20,410m,0.507989
Wikipedia (en),CCD,30,410m,0.5237354999999999
Wikipedia (en),CCD,40,410m,0.5106109999999999
Wikipedia (en),CCD,50,410m,0.504451
Wikipedia (en),CCD,60,410m,0.5331855000000001
Wikipedia (en),CCD,70,410m,0.5270874999999999
Wikipedia (en),CCD,80,410m,0.5152925
Wikipedia (en),CCD,90,410m,0.504094
Wikipedia (en),CCD,0,1b,0.516516
Wikipedia (en),CCD,10,1b,0.507007
Wikipedia (en),CCD,20,1b,0.508645
Wikipedia (en),CCD,30,1b,0.5108105
Wikipedia (en),CCD,40,1b,0.5059914999999999
Wikipedia (en),CCD,50,1b,0.5046435
Wikipedia (en),CCD,60,1b,0.5011425
Wikipedia (en),CCD,70,1b,0.53396
Wikipedia (en),CCD,80,1b,0.5302465
Wikipedia (en),CCD,90,1b,0.506212
Wikipedia (en),CCD,0,2.8b,0.500826
Wikipedia (en),CCD,10,2.8b,0.5264749999999999
Wikipedia (en),CCD,20,2.8b,0.503895
Wikipedia (en),CCD,30,2.8b,0.5100175
Wikipedia (en),CCD,40,2.8b,0.513255
Wikipedia (en),CCD,50,2.8b,0.5072789999999999
Wikipedia (en),CCD,60,2.8b,0.5017505
Wikipedia (en),CCD,70,2.8b,0.5228045
Wikipedia (en),CCD,80,2.8b,0.504013
Wikipedia (en),CCD,90,2.8b,0.5014194999999999
Wikipedia (en),CCD,0,6.9b,0.5157415000000001
Wikipedia (en),CCD,10,6.9b,0.5057115
Wikipedia (en),CCD,20,6.9b,0.502853
Wikipedia (en),CCD,30,6.9b,0.5155000000000001
Wikipedia (en),CCD,40,6.9b,0.5017929999999999
Wikipedia (en),CCD,50,6.9b,0.5033425
Wikipedia (en),CCD,60,6.9b,0.5088035
Wikipedia (en),CCD,70,6.9b,0.5301055
Wikipedia (en),CCD,80,6.9b,0.512775
Wikipedia (en),CCD,90,6.9b,0.503376
Wikipedia (en),CCD,0,12b,0.512678
Wikipedia (en),CCD,10,12b,0.5025245
Wikipedia (en),CCD,20,12b,0.505678
Wikipedia (en),CCD,30,12b,0.515356
Wikipedia (en),CCD,40,12b,0.526263
Wikipedia (en),CCD,50,12b,0.5108695
Wikipedia (en),CCD,60,12b,0.5172985
Wikipedia (en),CCD,70,12b,0.520903
Wikipedia (en),CCD,80,12b,0.5172885
Wikipedia (en),CCD,90,12b,0.504486
Wikipedia (en),PAC,0,160m,0.520486
Wikipedia (en),PAC,10,160m,0.5096229999999999
Wikipedia (en),PAC,20,160m,0.505352
Wikipedia (en),PAC,30,160m,0.50291
Wikipedia (en),PAC,40,160m,0.5088729999999999
Wikipedia (en),PAC,50,160m,0.523511
Wikipedia (en),PAC,60,160m,0.502562
Wikipedia (en),PAC,70,160m,0.509397
Wikipedia (en),PAC,80,160m,0.50423
Wikipedia (en),PAC,90,160m,0.501944
Wikipedia (en),PAC,0,410m,0.5087280000000001
Wikipedia (en),PAC,10,410m,0.50379
Wikipedia (en),PAC,20,410m,0.510136
Wikipedia (en),PAC,30,410m,0.501262
Wikipedia (en),PAC,40,410m,0.505221
Wikipedia (en),PAC,50,410m,0.516967
Wikipedia (en),PAC,60,410m,0.507117
Wikipedia (en),PAC,70,410m,0.502057
Wikipedia (en),PAC,80,410m,0.502279
Wikipedia (en),PAC,90,410m,0.516174
Wikipedia (en),PAC,0,1b,0.50624
Wikipedia (en),PAC,10,1b,0.504676
Wikipedia (en),PAC,20,1b,0.500888
Wikipedia (en),PAC,30,1b,0.501475
Wikipedia (en),PAC,40,1b,0.513181
Wikipedia (en),PAC,50,1b,0.514543
Wikipedia (en),PAC,60,1b,0.514555
Wikipedia (en),PAC,70,1b,0.503153
Wikipedia (en),PAC,80,1b,0.510081
Wikipedia (en),PAC,90,1b,0.510656
Wikipedia (en),PAC,0,2.8b,0.5126287236461684
Wikipedia (en),PAC,10,2.8b,0.5083930000000001
Wikipedia (en),PAC,20,2.8b,0.5014989999999999
Wikipedia (en),PAC,30,2.8b,0.501629
Wikipedia (en),PAC,40,2.8b,0.510798
Wikipedia (en),PAC,50,2.8b,0.505043
Wikipedia (en),PAC,60,2.8b,0.512257
Wikipedia (en),PAC,70,2.8b,0.508699
Wikipedia (en),PAC,80,2.8b,0.50413
Wikipedia (en),PAC,90,2.8b,0.5079750000000001
Wikipedia (en),PAC,0,6.9b,0.5160215
Wikipedia (en),PAC,10,6.9b,0.511934
Wikipedia (en),PAC,20,6.9b,0.506645
Wikipedia (en),PAC,30,6.9b,0.501388
Wikipedia (en),PAC,40,6.9b,0.5045350000000001
Wikipedia (en),PAC,50,6.9b,0.503255
Wikipedia (en),PAC,60,6.9b,0.513818
Wikipedia (en),PAC,70,6.9b,0.5133940000000001
Wikipedia (en),PAC,80,6.9b,0.501572
Wikipedia (en),PAC,90,6.9b,0.515709
Wikipedia (en),PAC,0,12b,0.510316
Wikipedia (en),PAC,10,12b,0.516307
Wikipedia (en),PAC,20,12b,0.514333
Wikipedia (en),PAC,30,12b,0.507926
Wikipedia (en),PAC,40,12b,0.502551
Wikipedia (en),PAC,50,12b,0.5068480000000001
